"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18318909232222659,17841400701760332,isadorametran,Isadora,"Muitos registros especiais desse dia. 🤍",0,"12/15/2025 07:06",https://www.instagram.com/p/DSSd1vAjvDJ/,"Carrossel do Instagram",,Total,18686,213,29,18,0,,
17928831660157184,17841400701760332,isadorametran,Isadora,"for a special night ✨🪩 @monicametran",0,"12/14/2025 14:06",https://www.instagram.com/p/DSQpEVpDj-O/,"Carrossel do Instagram",,Total,15282,132,3,18,0,,
18057768137314827,17841405730557330,monicametran,"Mônica Metran","Celebrating ✨ Nova loja Mônica Metran @mariaeleonorachagas",0,"12/14/2025 13:00",https://www.instagram.com/p/DSQhfi9jyEl/,"Carrossel do Instagram",,Total,10131,29,1,3,3,2017,0
18085617778854498,17841405730557330,monicametran,"Mônica Metran","Recebendo @fatimascarpa para a inauguração da nova casa Mônica Metran.",0,"12/14/2025 07:00",https://www.instagram.com/p/DSP4WKpD1il/,"Carrossel do Instagram",,Total,13619,119,1,2,4,3054,0
18088654828803041,17841405730557330,monicametran,"Mônica Metran","@monicametrandemello usa Coleção Estrela, colares Astro.",0,"12/13/2025 13:00",https://www.instagram.com/p/DSN8vI2j43d/,"Carrossel do Instagram",,Total,15606,304,2,66,3,3201,1
18086846995837652,17841405730557330,monicametran,"Mônica Metran","@tanalobo usa Elos para a inauguração da nova casa Mônica Metran.",0,"12/13/2025 07:00",https://www.instagram.com/p/DSNTj51DxgR/,"Carrossel do Instagram",,Total,10880,36,1,3,2,2213,0
18329347465245872,17841405730557330,monicametran,"Mônica Metran","A nova fase de uma história que teve início há 38 anos. 
Mônica Metran – Joalheria Brasileira – desde 1986.",57,"12/13/2025 06:33",https://www.instagram.com/reel/DSNQF9XDZoK/,"Reel do Instagram",,Total,5322,153,5,27,3,3466,0
18543546811014064,17841400701760332,isadorametran,Isadora,"For a memorable day ✨ 
@rabanne",0,"12/12/2025 14:30",https://www.instagram.com/p/DSLiRfsDsAS/,"Carrossel do Instagram",,Total,14559,244,9,50,0,,
18498270067072705,17841405730557330,monicametran,"Mônica Metran","@kabranquinho usa Turmalinas Paraíbas para noite de inauguração da nova casa Mônica Metran.",0,"12/12/2025 13:30",https://www.instagram.com/p/DSLbTlVj--d/,"Carrossel do Instagram",,Total,10867,82,6,4,9,2068,0
18032364296546314,17841400701760332,isadorametran,Isadora,"Memórias desse dia mágico 🤍",0,"12/12/2025 07:22",https://www.instagram.com/p/DSKxO5Ajg3-/,"Carrossel do Instagram",,Total,17062,185,11,18,0,,
